rank_name,position,seat,seat_span,row_letter,seat_number,title,name,full_text
ĐỒNG CHÍ NGUYỄN ĐỨC HẢI,NGUYÊN PHÓ CHỦ TỊCH QUỐC HỘI NƯỚC CHXHCN VIỆT NAM,A20,,A,20,ĐỒNG CHÍ,NGUYỄN ĐỨC HẢI,ĐỒNG CHÍ | NGUYỄN ĐỨC HẢI | NGUYÊN PHÓ CHỦ TỊCH QUỐC HỘI NƯỚC CHXHCN VIỆT NAM
THƯỢNG TƯỚNG TRẦN QUANG PHƯƠNG,"NGUYÊN UVBCHTW ĐẢNG, NGUYÊN PHÓ CHỦ TỊCH QUỐC HỘI",A18,,A,18,THƯỢNG TƯỚNG,TRẦN QUANG PHƯƠNG,"THƯỢNG TƯỚNG | TRẦN QUANG PHƯƠNG | NGUYÊN UVBCHTW ĐẢNG, NGUYÊN PHÓ CHỦ TỊCH QUỐC HỘI"
ĐỒNG CHÍ NGUYỄN HẢI NINH,"UỶ VIÊN BCHTW ĐẢNG, CHÁNH VĂN PHÒNG TRUNG ƯƠNG ĐẢNG",A16,,A,16,ĐỒNG CHÍ,NGUYỄN HẢI NINH,"ĐỒNG CHÍ | NGUYỄN HẢI NINH | UỶ VIÊN BCHTW ĐẢNG, CHÁNH VĂN PHÒNG TRUNG ƯƠNG ĐẢNG"
ĐỒNG CHÍ NGUYỄN THANH NGHỊ,"UV BCT, BÍ THƯ TWĐ, TRƯỞNG BAN CHÍNH SÁCH, CHIẾN LƯỢC TW",A14,,A,14,ĐỒNG CHÍ,NGUYỄN THANH NGHỊ,"ĐỒNG CHÍ | NGUYỄN THANH NGHỊ | UV BCT, BÍ THƯ TWĐ, TRƯỞNG BAN CHÍNH SÁCH, CHIẾN LƯỢC TW"
ĐỒNG CHÍ TRẦN SỸ THANH,"ỦY VIÊN BCT, BÍ THƯ TRUNG ƯƠNG ĐẢNG CHỦ NHIỆM UBKT TW",A12,,A,12,ĐỒNG CHÍ,TRẦN SỸ THANH,"ĐỒNG CHÍ | TRẦN SỸ THANH | ỦY VIÊN BCT, BÍ THƯ TRUNG ƯƠNG ĐẢNG | CHỦ NHIỆM UBKT TW"
ĐỒNG CHÍ LÊ MINH TRÍ,"ỦY VIÊN BCT, BÍ THƯ TRUNG ƯƠNG ĐẢNG TRƯỞNG BAN NỘI CHÍNH TRUNG ƯƠNG",A10,,A,10,ĐỒNG CHÍ,LÊ MINH TRÍ,"ĐỒNG CHÍ | LÊ MINH TRÍ | ỦY VIÊN BCT, BÍ THƯ TRUNG ƯƠNG ĐẢNG | TRƯỞNG BAN NỘI CHÍNH TRUNG ƯƠNG"
ĐỒNG CHÍ TRỊNH VĂN QUYẾT,"ỦY VIÊN BCT, BÍ THƯ TRUNG ƯƠNG ĐẢNG TRƯỞNG BAN TUYÊN GIÁO VÀ DÂN VẬN TW",A8,,A,8,ĐỒNG CHÍ,TRỊNH VĂN QUYẾT,"ĐỒNG CHÍ | TRỊNH VĂN QUYẾT | ỦY VIÊN BCT, BÍ THƯ TRUNG ƯƠNG ĐẢNG | TRƯỞNG BAN TUYÊN GIÁO VÀ DÂN VẬN TW"
ĐỒNG CHÍ NGUYỄN DUY NGỌC,"ỦY VIÊN BCT, BÍ THƯ TRUNG ƯƠNG ĐẢNG TRƯỞNG BAN TỔ CHỨC TRUNG ƯƠNG",A6,,A,6,ĐỒNG CHÍ,NGUYỄN DUY NGỌC,"ĐỒNG CHÍ | NGUYỄN DUY NGỌC | ỦY VIÊN BCT, BÍ THƯ TRUNG ƯƠNG ĐẢNG | TRƯỞNG BAN TỔ CHỨC TRUNG ƯƠNG"
ĐỒNG CHÍ TÔ LÂM,TỔNG BÍ THƯ BCHTWĐCS VIỆT NAM CHỦ TỊCH NƯỚC CHXHCN VIỆT NAM,A2,"A4,A2",A,2,ĐỒNG CHÍ,TÔ LÂM,ĐỒNG CHÍ | TÔ LÂM | TỔNG BÍ THƯ BCHTWĐCS VIỆT NAM | CHỦ TỊCH NƯỚC CHXHCN VIỆT NAM
ĐẠI TƯỚNG PHAN VĂN GIANG,ỦY VIÊN BỘ CHÍNH TRỊ PHÓ TT CHÍNH PHỦ BỘ TRƯỞNG BQP,A1,,A,1,ĐẠI TƯỚNG,PHAN VĂN GIANG,ĐẠI TƯỚNG | PHAN VĂN GIANG | ỦY VIÊN BỘ CHÍNH TRỊ | PHÓ TT CHÍNH PHỦ | BỘ TRƯỞNG BQP
