rank_name,position,seat
ĐỒNG CHÍ TÔ LÂM,"ỦY VIÊN BCT, TỔNG BÍ THƯ BCHTWĐCS VIỆT NAM CHỦ TỊCH NƯỚC CHXHCN VIỆT NAM",A1
ĐỒNG CHÍ BÙI THỊ MINH HOÀI,"ỦY VIÊN BCT, BÍ THƯ TRUNG ƯƠNG ĐẢNG CHỦ TỊCH UBTW MẶT TRẬN TỔ QUỐC VIỆT NAM",A5
ĐỒNG CHÍ NGUYỄN DUY NGỌC,"ỦY VIÊN BCT, BÍ THƯ TRUNG ƯƠNG ĐẢNG TRƯỞNG BAN TỔ CHỨC TRUNG ƯƠNG",A7
ĐỒNG CHÍ TRỊNH VĂN QUYẾT,"ỦY VIÊN BCT, BÍ THƯ TRUNG ƯƠNG ĐẢNG TRƯỞNG BAN TUYÊN GIÁO VÀ DÂN VẬN TW",A9
ĐỒNG CHÍ LÊ MINH TRÍ,"ỦY VIÊN BCT, BÍ THƯ TRUNG ƯƠNG ĐẢNG TRƯỞNG BAN NỘI CHÍNH TRUNG ƯƠNG",A11
ĐỒNG CHÍ ĐOÀN MINH HUẤN,"UV BCT, GIÁM ĐỐC HỌC VIỆN CHÍNH TRỊ QUỐC GIA HỒ CHÍ MINH",A13
ĐỒNG CHÍ NGUYỄN THANH NGHỊ,"UV BCT, BÍ THƯ TWĐ, TRƯỞNG BAN CHÍNH SÁCH, CHIẾN LƯỢC TW",A15
ĐẠI TƯỚNG NGUYỄN TÂN CƯƠNG,"UỶ VIÊN BCHTW ĐẢNG, TTMT, THỨ TRƯỞNG BỘ QUỐC PHÒNG",A17
THƯỢNG TƯỚNG NGUYỄN DOÃN ANH,"UỶ VIÊN BCHTW ĐẢNG, PHÓ CHỦ TỊCH QUỐC HỘI NƯỚC CHXHCN VN",A19
ĐỒNG CHÍ PHAN VĂN GIANG,PHÓ TT CHÍNH PHỦ BỘ TRƯỞNG BQP,A2
ĐẠI TƯỚNG NGUYỄN TRỌNG NGHĨA,"UV BỘ CHÍNH TRỊ, CHỦ NHIỆM TCCT QUÂN ĐỘI NHÂN DÂN VIỆT NAM",A4
ĐẠI TƯỚNG LƯƠNG TAM QUANG,"ỦY VIÊN BCT, BỘ TRƯỞNG BỘ CÔNG AN",A6
ĐỒNG CHÍ TRẦN SỸ THANH,"ỦY VIÊN BCT, BÍ THƯ TRUNG ƯƠNG ĐẢNG CHỦ NHIỆM UBKT TW",A8
ĐỒNG CHÍ VÕ THỊ ÁNH XUÂN,BÍ THƯ TW ĐẢNG PHÓ CHỦ TỊCH NƯỚC CHXHCN VIỆT NAM,A10
ĐỒNG CHÍ NGUYỄN HÒA BÌNH,"NGUYÊN UV BCT, NGUYÊN PHÓ TT NƯỚC CHXHCN VIỆT NAM",A12
THƯỢNG TƯỚNG HUỲNH NGỌC SƠN,NGUYÊN PHÓ CHỦ TỊCH QUỐC HỘI,A14
THƯỢNG TƯỚNG TRẦN QUANG PHƯƠNG,"NGUYÊN UVBCHTW ĐẢNG, NGUYÊN PHÓ CHỦ TỊCH QUỐC HỘI",A16
