rank_name,position,seat
ĐỒNG CHÍ TÔ LÂM,"ỦY VIÊN BCT, TỔNG BÍ THƯ BCHTWĐCS VIỆT NAM CHỦ TỊCH NƯỚC CHXHCN VIỆT NAM",A1
ĐỒNG CHÍ PHAN VĂN GIANG,PHÓ TT CHÍNH PHỦ BỘ TRƯỞNG BQP,A2
ĐỒNG CHÍ TRẦN SỸ THANH,"ỦY VIÊN BCT, BÍ THƯ TRUNG ƯƠNG ĐẢNG CHỦ NHIỆM UBKT TW",A4
ĐỒNG CHÍ NGUYỄN DUY NGỌC,"ỦY VIÊN BCT, BÍ THƯ TRUNG ƯƠNG ĐẢNG TRƯỞNG BAN TỔ CHỨC TRUNG ƯƠNG",A5
ĐẠI TƯỚNG LƯƠNG TAM QUANG,"ỦY VIÊN BCT, BỘ TRƯỞNG BỘ CÔNG AN",A6
ĐỒNG CHÍ TRỊNH VĂN QUYẾT,"ỦY VIÊN BCT, BÍ THƯ TRUNG ƯƠNG ĐẢNG TRƯỞNG BAN TUYÊN GIÁO VÀ DÂN VẬN TW",A7
ĐẠI TƯỚNG NGUYỄN TRỌNG NGHĨA,"UV BỘ CHÍNH TRỊ, CHỦ NHIỆM TCCT QUÂN ĐỘI NHÂN DÂN VIỆT NAM",A8
ĐỒNG CHÍ LÊ MINH TRÍ,"ỦY VIÊN BCT, BÍ THƯ TRUNG ƯƠNG ĐẢNG TRƯỞNG BAN NỘI CHÍNH TRUNG ƯƠNG",A9
ĐỒNG CHÍ NGUYỄN HÒA BÌNH,"NGUYÊN UV BCT, NGUYÊN PHÓ TT NƯỚC CHXHCN VIỆT NAM",A10
ĐỒNG CHÍ NGUYỄN THANH NGHỊ,"UV BCT, BÍ THƯ TWĐ, TRƯỞNG BAN CHÍNH SÁCH, CHIẾN LƯỢC TW",A11
THƯỢNG TƯỚNG HUỲNH NGỌC SƠN,NGUYÊN PHÓ CHỦ TỊCH QUỐC HỘI,A12
THƯỢNG TƯỚNG NGUYỄN DOÃN ANH,"ỦY VIÊN BCHTW ĐẢNG, PHÓ CHỦ TỊCH QUỐC HỘI NƯỚC CHXHCN VN",A13
THƯỢNG TƯỚNG TRẦN QUANG PHƯƠNG,"NGUYÊN UVBCHTW ĐẢNG, NGUYÊN PHÓ CHỦ TỊCH QUỐC HỘI",A14
ĐỒNG CHÍ NGUYỄN HẢI NINH,"ỦY VIÊN BCHTW ĐẢNG, CHÁNH VĂN PHÒNG TRUNG ƯƠNG ĐẢNG",A15
ĐỒNG CHÍ NGUYỄN ĐỨC HẢI,NGUYÊN PHÓ CHỦ TỊCH QUỐC HỘI NƯỚC CHXHCN VIỆT NAM,A16
ĐẠI BIỂU NGÔ CHÍ NGUYỆN,ANH HÙNG LỰC LƯỢNG VŨ TRANG NHÂN DÂN,A17
THƯỢNG TƯỚNG NGUYỄN VĂN ĐƯỢC,NGUYÊN THỨ TRƯỞNG BỘ QUỐC PHÒNG,A18
ĐẠI BIỂU LƯƠNG THỊ PHONG,MẸ VIỆT NAM ANH HÙNG,A19
THƯỢNG TƯỚNG TRƯƠNG QUANG KHÁNH,NGUYÊN THỨ TRƯỞNG BỘ QUỐC PHÒNG,A20
TRUNG TƯỚNG LÊ NGỌC HẢI,ỦY VIÊN BCHTW ĐẢNG TƯ LỆNH QUÂN KHU,B1
THIẾU TƯỚNG LƯƠNG ĐÌNH CHUNG,CHÍNH ỦY QUÂN KHU,B2
ĐỒNG CHÍ TÔ ÂN XÔ,TRỢ LÝ TỔNG BÍ THƯ PHỤ TRÁCH VĂN PHÒNG TỔNG BÍ THƯ,B3
THƯỢNG TƯỚNG LÊ CHIÊM,NGUYÊN THỨ TRƯỞNG BỘ QUỐC PHÒNG,B4
THƯỢNG TƯỚNG TRƯƠNG THIÊN TÔ,"ỦY VIÊN BCHTW ĐẢNG, PHÓ CHỦ NHIỆM TCCT QĐND VIỆT NAM",B5
ĐỒNG CHÍ THÁI ĐẠI NGỌC,"ỦY VIÊN BCHTW ĐẢNG, BÍ THƯ TỈNH ỦY GIA LAI",B6
TRUNG TƯỚNG LÊ VĂN HƯỚNG,PHÓ TỔNG THAM MƯU TRƯỞNG QĐND VIỆT NAM,B7
