rank_name,position,seat
ĐỒNG CHÍ NGUYỄN ĐỨC HẢI,NGUYÊN PHÓ CHỦ TỊCH QUỐC HỘI NƯỚC CHXHCN VIỆT NAM,A20
THƯỢNG TƯỚNG TRẦN QUANG PHƯƠNG,"NGUYÊN UVBCHTW ĐẢNG, NGUYÊN PHÓ CHỦ TỊCH QUỐC HỘI",A18
ĐỒNG CHÍ NGUYỄN HẢI NINH,"UỶ VIÊN BCHTW ĐẢNG, CHÁNH VĂN PHÒNG TRUNG ƯƠNG ĐẢNG",A16
ĐỒNG CHÍ NGUYỄN THANH NGHỊ,"UV BCT, BÍ THƯ TWĐ, TRƯỞNG BAN CHÍNH SÁCH, CHIẾN LƯỢC TW",A14
ĐỒNG CHÍ TRẦN SỸ THANH,"ỦY VIÊN BCT, BÍ THƯ TRUNG ƯƠNG ĐẢNG CHỦ NHIỆM UBKT TW",A12
ĐỒNG CHÍ LÊ MINH TRÍ,"ỦY VIÊN BCT, BÍ THƯ TRUNG ƯƠNG ĐẢNG TRƯỞNG BAN NỘI CHÍNH TRUNG ƯƠNG",A10
ĐỒNG CHÍ TRỊNH VĂN QUYẾT,"ỦY VIÊN BCT, BÍ THƯ TRUNG ƯƠNG ĐẢNG TRƯỞNG BAN TUYÊN GIÁO VÀ DÂN VẬN TW",A8
ĐỒNG CHÍ NGUYỄN DUY NGỌC,"ỦY VIÊN BCT, BÍ THƯ TRUNG ƯƠNG ĐẢNG TRƯỞNG BAN TỔ CHỨC TRUNG ƯƠNG",A6
ĐỒNG CHÍ TÔ LÂM,TỔNG BÍ THƯ BCHTWĐCS VIỆT NAM CHỦ TỊCH NƯỚC CHXHCN VIỆT NAM,A4
ĐỒNG CHÍ TÔ LÂM,TỔNG BÍ THƯ BCHTWĐCS VIỆT NAM CHỦ TỊCH NƯỚC CHXHCN VIỆT NAM,A2
ĐẠI TƯỚNG PHAN VĂN GIANG,ỦY VIÊN BỘ CHÍNH TRỊ PHÓ TT CHÍNH PHỦ BỘ TRƯỞNG BQP,A1
ĐẠI TƯỚNG LƯƠNG TAM QUANG,ỦY VIÊN BỘ CHÍNH TRỊ BỘ TRƯỞNG BỘ CÔNG AN,A3
ĐẠI TƯỚNG NGUYỄN TRỌNG NGHĨA,"UV BỘ CHÍNH TRỊ, CHỦ NHIỆM TCCT QUÂN ĐỘI NHÂN DÂN VIỆT NAM",A5
ĐỒNG CHÍ NGUYỄN HÒA BÌNH,"NGUYÊN UV BCT, NGUYÊN PHÓ THỦ TƯỚNG TT NƯỚC CHXHCN VIỆT NAM",A7
THƯỢNG TƯỚNG NGUYỄN DOÃN ANH,"UỶ VIÊN BCHTW ĐẢNG, PHÓ CHỦ TỊCH QUỐC HỘI NƯỚC CHXHCN VN",A9
THƯỢNG TƯỚNG HUỲNH NGỌC SƠN,NGUYÊN PHÓ CHỦ TỊCH QUỐC HỘI,A11
ĐẠI BIỂU LƯƠNG THỊ PHONG,MẸ VIỆT NAM ANH HÙNG,A13
ĐẠI BIỂU NGÔ CHÍ NGUYỆN,ANH HÙNG LỰC LƯỢNG VŨ TRANG NHÂN DÂN,A15
THƯỢNG TƯỚNG NGUYỄN VĂN ĐƯỢC,NGUYÊN THỨ TRƯỞNG BỘ QUỐC PHÒNG,A17
THƯỢNG TƯỚNG NGUYỄN VĂN HIỀN,"UỶ VIÊN BCHTW ĐẢNG, THỨ TRƯỞNG BQP",A19
PHÓ ĐÔ ĐỐC TRẦN THANH NGHIÊM,"UỶ VIÊN BCHTW ĐẢNG, TƯ LỆNH QC HẢI QUÂN",B20
ĐỒNG CHÍ TRẦN PHONG,"UỶ VIÊN BCHTW ĐẢNG, BÍ THƯ TỈNH ỦY KHÁNH HÒA",B18
ĐỒNG CHÍ LƯƠNG NGUYỄN MINH TRIẾT,"UỶ VIÊN BCHTW ĐẢNG, BÍ THƯ TỈNH ỦY ĐĂK LĂK",B16
ĐỒNG CHÍ HỒ VĂN NIÊN,"UỶ VIÊN BCHTW ĐẢNG, BÍ THƯ TỈNH ỦY Q.NGÃI",B14
ĐỒNG CHÍ LÊ NGỌC QUANG,"UỶ VIÊN BCHTW ĐẢNG, BÍ THƯ THÀNH ỦY ĐÀ NẴNG",B12
ĐỒNG CHÍ THÁI ĐẠI NGỌC,"UỶ VIÊN BCHTW ĐẢNG, BÍ THƯ TỈNH ỦY GIA LAI",B10
THƯỢNG TƯỚNG LÊ CHIÊM,NGUYÊN THỨ TRƯỞNG BỘ QUỐC PHÒNG,B8
THƯỢNG TƯỚNG TRƯƠNG QUANG KHÁNH,NGUYÊN THỨ TRƯỞNG BỘ QUỐC PHÒNG,B6
ĐỒNG CHÍ TÔ ÂN XÔ,TRỢ LÝ TỔNG BÍ THƯ PHỤ TRÁCH VĂN PHÒNG TỔNG BÍ THƯ,B4
ĐỒNG CHÍ NGUYỄN THỊ THU HÀ UỶ VIÊN BCHTW ĐẢNG PHÓ CHÁNH VĂN PHÒNG TT,VĂN PHÒNG TW ĐẢNG,B2
TRUNG TƯỚNG LÊ NGỌC HẢI,UỶ VIÊN BCHTW ĐẢNG TƯ LỆNHQUÂN KHU,B1
THƯỢNG TƯỚNG TRƯƠNG THIÊN TÔ,"UỶ VIÊN BCHTW ĐẢNG, PHÓ CHỦ NHIỆM TCCT QĐND VIỆT NAM",B3
TRUNG TƯỚNG LÊ VĂN HƯỚNG,PHÓ TỔNG THAM MƯU TRƯỞNG QĐND VIỆT NAM,B5
TRUNG TƯỚNG NGUYỄN TRUNG THU,NGUYÊN PHÓ TỔNG TMT QĐNDVN,B7
THƯỢNG TƯỚNG VÕ TIẾN TRUNG,NGUYÊN GIÁM ĐỐC HỌC VIỆN QUỐC PHÒNG,B9
TRUNG TƯỚNG TIÊU VĂN MẪN,NGUYÊN PHÓ TƯ LỆNH VỀ CHÍNH TRỊ,B11
TRUNG TƯỚNG NGUYỄN THÀNH ĐỨC,NGUYÊN CHÍNH ỦY QUÂN KHU,B13
TRUNG TƯỚNG NGUYỄN LONG CÁNG,NGUYÊN TƯ LỆNH QUÂN KHU,B15
TRUNG TƯỚNG TRỊNH ĐÌNH THẠCH,NGUYÊN CHÍNH ỦY QUÂN KHU,B17
THIẾU TƯỚNG VÕ DUY CHÍN,NGUYÊN PHÓ CN CHÍNH TRỊ QUÂN KHU,B19
THIẾU TƯỚNG PHAN ĐẠI NGHĨA,PHÓ TƯ LỆNH KIÊM TMT QUÂN KHU,C20
TRUNG TƯỚNG NGUYỄN BÁ HÙNG,CHÍNH ỦY HỌC VIỆN CHÍNH TRỊ,C18
TRUNG TƯỚNG NGÔ TRỌNG CƯỜNG,PHÓ GIÁM ĐỐC HỌC VIỆN QUỐC PHÒNG,C16
THIẾU TƯỚNG TẠ XUÂN THỦY,PHÓ TỔNG CỤC TRƯỞNG TỔNG CỤC II,C14
TRUNG TƯỚNG HÀ THỌ BÌNH,TƯ LỆNH QUÂN KHU 4,C12
THIẾU TƯỚNG TRẦN VĂN BẮC,"UỶ VIÊN BCHTW ĐẢNG, TƯ LỆNH QUÂN KHU 2",C10
TRUNG TƯỚNG ĐÀO TUẤN ANH,"UỶ VIÊN BCHTW ĐẢNG, TƯ LỆNH QUÂN ĐOÀN 34",C8
TRUNG TƯỚNG VŨ HỒNG SƠN,"UỶ VIÊN BCHTW ĐẢNG, TƯ LỆNH QC PK-KQ",C6
TRUNG TƯỚNG LÊ XUÂN THẾ,"UỶ VIÊN BCHTW ĐẢNG, TƯ LỆNH QUÂN KHU 7",C4
THIẾU TƯỚNG LƯƠNG ĐÌNH CHUNG,CHÍNH UỶ QUÂN KHU,C2
TRUNG TƯỚNG NGUYỄN VIẾT TUYÊN,CHÁNH VĂN PHÒNG QUÂN ỦY TW VĂN PHÒNG BQP,C1
THIẾU TƯỚNG NGUYỄN VĂN THÂN,TRỢ LÝ BỘ TRƯỞNG BỘ QUỐC PHÒNG,C3
TRUNG TƯỚNG TRẦN MINH ĐỨC,CHỦ NHIỆM TỔNG CỤC HC - Đoàn KT - QP 206,C5
TRUNG TƯỚNG ĐINH QUỐC HÙNG,CHINH ỦY TỔNG CỤC CÔNG NGHIỆP QP,C7
TRUNG TƯỚNG NGUYỄN VĂN HÙNG,PHÓ CN UBKT QUÂN ỦY TW,C9
TRUNG TƯỚNG NGUYỄN VĂN TUYÊN,NGUYÊN PHÓ GIÁM ĐỐC HỌC VIỆN,C11
THIẾU TƯỚNG TRẦN MINH HÙNG,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,C13
THIẾU TƯỚNG NGUYỄN QUY NHƠN,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,C15
TRUNG TƯỚNG LÊ NGỌC NAM,NGUYÊN PHÓ CN UBKT QUÂN ỦY TRUNG ƯƠNG,C17
THIẾU TƯỚNG TRẦN MINH TRỌNG,PHÓ CHÍNH ỦY QUÂN KHU,C19
THIẾU TƯỚNG HỨA VĂN TƯỞNG,PHÓ TƯ LỆNH QUÂN KHU,D20
THIẾU TƯỚNG HÀ TẤT ĐẠT,PHÓ TƯ LỆNH QUÂN KHU 3,D18
THIẾU TƯỚNG LƯU NAM TIẾN,CHÍNH ỦY BTL THỦ ĐÔ HÀ NỘI,D16
THIẾU TƯỚNG TRẦN XUÂN MẠNH,PHÓ TƯ LỆNH - TMT QUÂN KHU 1,D14
THIẾU TƯỚNG TRẦN ĐẠI THẮNG,CHÍNH ỦY QUÂN ĐOÀN 12,D12
THIẾU TƯỚNG LÊ ĐÌNH CƯỜNG,TƯ LỆNH CẢNH SÁT BIỂN,D10
THIẾU TƯỚNG ĐÀO MINH ĐẠO,PHÓ CỤC TRƯỞNG CỤC TÀI CHÍNH,D8
ĐỒNG CHÍ NG. TỰ CÔNG HOÀNG,PHÓ CHỦ TỊCH UBND TỈNH GIA LAI,D6
ĐỒNG CHÍ TRẦN NAM HƯNG,PHÓ CHỦ TỊCH UBND TP. ĐÀ NẴNG,D4
ĐẠI TÁ NGUYỄN HỮU QUẢNG,THƯ KÝ BỘ TRƯỞNG BỘ QUỐC PHÒNG,D2
